id,type,osmid,name,Correct,Wrong,Non-verifiable
http://www.worldkg.org/resource/8635543168,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/8635543168,Antic Camp d'Aviació de Rosanes,yes,,
http://www.worldkg.org/resource/7859466185,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/7859466185,Molino aceite Bendilló,yes,,
http://www.worldkg.org/resource/4332292193,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/4332292193,Schiefer Schaubergwerke Raumland,yes,,
http://www.worldkg.org/resource/1760750081,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/1760750081,Museo Fotografía de Manises,yes,,
http://www.worldkg.org/resource/1950974642,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/1950974642,Pošumavská jižní dráha,yes,,
http://www.worldkg.org/resource/4534542515,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/4534542515,Musée des Frères Caudron,yes,,
http://www.worldkg.org/resource/6718390150,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/6718390150,Papiermuseum,yes,,
http://www.worldkg.org/resource/6357834157,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/6357834157,Museu Egipci,yes,,
http://www.worldkg.org/resource/600042902,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/600042902,Ashford Borough Museum,yes,,
http://www.worldkg.org/resource/3807594139,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/3807594139,Museo de Pecharroman,yes,,
http://www.worldkg.org/resource/3812763595,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/3812763595,Pfälzisches Sportmuseum,yes,,
http://www.worldkg.org/resource/344381412,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/344381412,Museum,yes,,
http://www.worldkg.org/resource/5971589022,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/5971589022,Spielzeug Museum,yes,,
http://www.worldkg.org/resource/4687272233,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/4687272233,Casa Bacardí Sitges,yes,,
http://www.worldkg.org/resource/1665122992,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/1665122992,Bauerngerätemuseum,yes,,
http://www.worldkg.org/resource/2426594100,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/2426594100,Terracotta Warriors Museum,yes,,
http://www.worldkg.org/resource/3594227246,http://www.worldkg.org/schema/Museum,https://www.openstreetmap.org/node/3594227246,La maison du Boulanger d'Autrefois,yes,,
